pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_insol,st_teff,pl_eqt,pl_tranmid,st_rad,st_mass
Kepler-215 d,30.86437869000,0.1798000000,2.45000000,30.5600,5741.00,600.00,2455005.93399000,1.008000,0.813000
Kepler-215 d,30.86437869000,0.1798000000,2.45000000,30.5600,5741.00,600.00,2455005.93399000,1.008000,0.813000
Kepler-215 e,68.16135980000,0.3049000000,1.75000000,10.6300,5741.00,460.00,2455020.03004000,1.008000,0.813000
Kepler-215 e,68.16135980000,0.3049000000,1.75000000,10.6300,5741.00,460.00,2455020.03004000,1.008000,0.813000
Kepler-215 e,68.16135980000,0.3049000000,1.75000000,10.6300,5741.00,460.00,2455020.03004000,1.008000,0.813000
Kepler-389 b,3.24417541000,0.0401000000,1.84000000,283.6600,5094.00,1047.00,2454965.94014000,0.870000,0.813000
Kepler-389 c,14.51236220000,0.1087000000,2.08000000,38.6000,5094.00,636.00,2454976.81540000,0.870000,0.813000
Kepler-626 b,14.48585199000,0.1086000000,2.17000000,83.7600,5741.00,772.00,2455008.00558000,1.008000,0.813000
Kepler-626 b,14.48585199000,0.1086000000,2.17000000,83.7600,5741.00,772.00,2455008.00558000,1.008000,0.813000
Kepler-626 b,14.48585199000,0.1086000000,2.17000000,83.7600,5741.00,772.00,2455008.00558000,1.008000,0.813000
Kepler-649 b,29.90722674000,0.1761000000,2.46000000,31.8500,5741.00,606.00,2455008.29327000,1.008000,0.813000
Kepler-649 b,29.90722674000,0.1761000000,2.46000000,31.8500,5741.00,606.00,2455008.29327000,1.008000,0.813000
Kepler-649 b,29.90722674000,0.1761000000,2.46000000,31.8500,5741.00,606.00,2455008.29327000,1.008000,0.813000
Kepler-69 b,13.72237104000,0.1048000000,2.28000000,73.1600,5637.00,746.00,2454970.84023000,0.943000,0.813000
Kepler-69 b,13.72237104000,0.1048000000,2.28000000,73.1600,5637.00,746.00,2454970.84023000,0.943000,0.813000
